time,open_price,high_price,low_price,close_price,volume_btc,trade_count,volatility,momentum,pct_change,risk
2025-12-05 22:51:00,89350.000000,89376.030000,89346.180000,89346.210000,15.918960,3184,29.850000,-3.790000,-0.000042,1.875122
2025-12-05 22:52:00,89346.210000,89347.400000,89302.000000,89302.000000,5.220390,2244,45.400000,-44.210000,-0.000495,8.696668
2025-12-05 22:53:00,89302.000000,89302.010000,89224.000000,89224.010000,4.368440,5028,78.010000,-77.990000,-0.000873,17.857633
2025-12-05 22:54:00,89224.010000,89326.000000,89224.000000,89307.620000,5.362420,3522,102.000000,83.610000,0.000937,19.021263
2025-12-05 22:55:00,89307.610000,89307.620000,89284.560000,89286.190000,2.195620,1066,23.060000,-21.420000,-0.000240,10.502728
2025-12-05 22:56:00,89286.190000,89286.190000,89273.460000,89285.070000,2.107810,961,12.730000,-1.120000,-0.000013,6.039444
2025-12-05 22:57:00,89285.080000,89293.500000,89285.070000,89293.490000,3.531610,577,8.430000,8.410000,0.000094,2.387013
2025-12-05 22:58:00,89293.500000,89293.500000,89267.400000,89267.400000,2.786290,1150,26.100000,-26.100000,-0.000292,9.367295
2025-12-05 22:59:00,89267.400000,89267.410000,89224.000000,89232.470000,4.543780,3537,43.410000,-34.930000,-0.000391,9.553720
2025-12-05 23:00:00,89232.480000,89248.700000,89189.910000,89194.930000,5.258400,2875,58.790000,-37.550000,-0.000421,11.180207
2025-12-05 23:01:00,89194.930000,89194.930000,89138.000000,89138.010000,2.494510,3168,56.930000,-56.920000,-0.000638,22.822117
2025-12-05 23:02:00,89138.010000,89146.950000,89126.450000,89143.440000,6.450910,1153,20.500000,5.430000,0.000061,3.177846
2025-12-05 23:03:00,89143.440000,89143.440000,89076.640000,89076.650000,5.957470,5919,66.800000,-66.790000,-0.000749,11.212813
2025-12-05 23:04:00,89076.640000,89094.140000,89042.820000,89042.830000,10.287920,3994,51.320000,-33.810000,-0.000380,4.988375
2025-12-05 23:05:00,89042.830000,89066.920000,89020.000000,89055.860000,7.337880,2164,46.920000,13.030000,0.000146,6.394217
2025-12-05 23:06:00,89055.870000,89055.870000,88996.000000,89035.190000,4.396910,3063,59.870000,-20.680000,-0.000232,13.616381
2025-12-05 23:07:00,89035.190000,89039.260000,88974.550000,89005.690000,3.359400,4019,64.710000,-29.500000,-0.000331,19.262368
2025-12-05 23:08:00,89005.700000,89014.600000,88940.200000,88951.050000,3.562060,3539,74.400000,-54.650000,-0.000614,20.886790
2025-12-05 23:09:00,88951.060000,89098.010000,88951.050000,89089.030000,12.597010,3141,146.960000,137.970000,0.001551,11.666260
2025-12-05 23:10:00,89089.020000,89133.070000,89068.610000,89108.400000,6.363960,3446,64.460000,19.380000,0.000218,10.128913
2025-12-05 23:11:00,89108.380000,89122.620000,89101.980000,89122.610000,2.531990,768,20.640000,14.230000,0.000160,8.151691
2025-12-05 23:12:00,89122.610000,89122.620000,89098.000000,89098.000000,1.190870,1582,24.620000,-24.610000,-0.000276,20.673961
2025-12-05 23:13:00,89098.000000,89098.010000,89056.380000,89056.380000,2.067070,2329,41.630000,-41.620000,-0.000467,20.139618
2025-12-05 23:14:00,89056.380000,89123.460000,89056.380000,89123.460000,6.077720,773,67.080000,67.080000,0.000753,11.037034
2025-12-05 23:15:00,89123.450000,89166.000000,89123.450000,89165.990000,2.306800,1007,42.550000,42.540000,0.000477,18.445466
2025-12-05 23:16:00,89166.000000,89170.000000,89131.830000,89142.840000,2.741570,2748,38.170000,-23.160000,-0.000260,13.922679
2025-12-05 23:17:00,89142.850000,89147.390000,89127.300000,89147.390000,2.524960,1192,20.090000,4.540000,0.000051,7.956562
2025-12-05 23:18:00,89147.380000,89152.740000,89110.010000,89110.010000,3.890300,2659,42.730000,-37.370000,-0.000419,10.983729
2025-12-05 23:19:00,89110.000000,89146.840000,89110.000000,89146.830000,0.700480,702,36.840000,36.830000,0.000413,52.592508
2025-12-05 23:20:00,89146.830000,89146.840000,89133.790000,89137.710000,1.683640,807,13.050000,-9.120000,-0.000102,7.751063
2025-12-05 23:21:00,89137.710000,89143.430000,89111.280000,89136.930000,1.645730,2046,32.150000,-0.780000,-0.000009,19.535404
2025-12-05 23:22:00,89136.920000,89136.930000,89106.360000,89115.830000,2.994440,1266,30.570000,-21.090000,-0.000237,10.208921
2025-12-05 23:23:00,89115.840000,89142.400000,89115.830000,89115.830000,3.076180,2231,26.570000,-0.010000,-0.000000,8.637336
2025-12-05 23:24:00,89115.830000,89115.840000,89078.730000,89078.730000,5.084410,1271,37.110000,-37.100000,-0.000416,7.298782
2025-12-05 23:25:00,89078.740000,89124.460000,89078.740000,89124.450000,2.307110,1447,45.720000,45.710000,0.000513,19.817000
2025-12-05 23:26:00,89124.460000,89165.790000,89124.460000,89165.380000,2.841080,1594,41.330000,40.920000,0.000459,14.547285
2025-12-05 23:27:00,89165.380000,89212.610000,89165.380000,89211.510000,4.202760,1029,47.230000,46.130000,0.000517,11.237853
2025-12-05 23:28:00,89211.510000,89265.120000,89203.260000,89265.110000,7.092000,2029,61.860000,53.600000,0.000601,8.722504
2025-12-05 23:29:00,89265.120000,89265.120000,89233.390000,89233.390000,12.548400,1998,31.730000,-31.730000,-0.000355,2.528609
2025-12-05 23:30:00,89233.390000,89286.880000,89228.350000,89266.490000,10.265250,1774,58.530000,33.100000,0.000371,5.701761
2025-12-05 23:31:00,89266.490000,89266.500000,89260.000000,89260.000000,3.567190,787,6.500000,-6.490000,-0.000073,1.822163
2025-12-05 23:32:00,89260.000000,89265.610000,89260.000000,89265.600000,0.729730,288,5.610000,5.600000,0.000063,7.687775
