open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base,taker_buy_quote,ignore
2025-12-05 22:51:00,89350.0,89376.03,89346.18,89346.21,15.91896,2025-12-05 22:51:59.999,1422531.57190260,3184,12.58442000,1124522.34141780,0
2025-12-05 22:52:00,89346.21,89347.4,89302.0,89302.0,5.22039,2025-12-05 22:52:59.999,466373.18382880,2244,3.64591000,325716.88839370,0
2025-12-05 22:53:00,89302.0,89302.01,89224.0,89224.01,4.36844,2025-12-05 22:53:59.999,389907.82107310,5028,1.45871000,130156.61501250,0
2025-12-05 22:54:00,89224.01,89326.0,89224.0,89307.62,5.36242,2025-12-05 22:54:59.999,478814.06981090,3522,4.43624000,396090.65171980,0
2025-12-05 22:55:00,89307.61,89307.62,89284.56,89286.19,2.19562,2025-12-05 22:55:59.999,196069.14419240,1066,0.84760000,75688.79543790,0
2025-12-05 22:56:00,89286.19,89286.19,89273.46,89285.07,2.10781,2025-12-05 22:56:59.999,188183.55369670,961,1.56230000,139479.23409240,0
2025-12-05 22:57:00,89285.08,89293.5,89285.07,89293.49,3.53161,2025-12-05 22:57:59.999,315324.56958030,577,2.42449000,216471.49615210,0
2025-12-05 22:58:00,89293.5,89293.5,89267.4,89267.4,2.78629,2025-12-05 22:58:59.999,248767.14945760,1150,0.38870000,34704.17008980,0
2025-12-05 22:59:00,89267.4,89267.41,89224.0,89232.47,4.54378,2025-12-05 22:59:59.999,405490.58602250,3537,0.98796000,88156.14794850,0
2025-12-05 23:00:00,89232.48,89248.7,89189.91,89194.93,5.2584,2025-12-05 23:00:59.999,469119.40893820,2875,0.83564000,74554.53443310,0
2025-12-05 23:01:00,89194.93,89194.93,89138.0,89138.01,2.49451,2025-12-05 23:01:59.999,222422.90552050,3168,0.88701000,79093.52913930,0
2025-12-05 23:02:00,89138.01,89146.95,89126.45,89143.44,6.45091,2025-12-05 23:02:59.999,575039.51488160,1153,3.16492000,282111.62643140,0
2025-12-05 23:03:00,89143.44,89143.44,89076.64,89076.65,5.95747,2025-12-05 23:03:59.999,530802.14518420,5919,1.02170000,91030.87380580,0
2025-12-05 23:04:00,89076.64,89094.14,89042.82,89042.83,10.28792,2025-12-05 23:04:59.999,916314.95975510,3994,7.66423000,682646.79609370,0
2025-12-05 23:05:00,89042.83,89066.92,89020.0,89055.86,7.33788,2025-12-05 23:05:59.999,653418.61198100,2164,2.56540000,228408.38634430,0
2025-12-05 23:06:00,89055.87,89055.87,88996.0,89035.19,4.39691,2025-12-05 23:06:59.999,391378.17941510,3063,2.26474000,201573.67140160,0
2025-12-05 23:07:00,89035.19,89039.26,88974.55,89005.69,3.3594,2025-12-05 23:07:59.999,298968.70992100,4019,1.51771000,135056.97817600,0
2025-12-05 23:08:00,89005.7,89014.6,88940.2,88951.05,3.56206,2025-12-05 23:08:59.999,316893.67378410,3539,0.90469000,80474.13719450,0
2025-12-05 23:09:00,88951.06,89098.01,88951.05,89089.03,12.59701,2025-12-05 23:09:59.999,1121717.30909690,3141,11.74630000,1045943.10502520,0
2025-12-05 23:10:00,89089.02,89133.07,89068.61,89108.4,6.36396,2025-12-05 23:10:59.999,567100.50409790,3446,2.44484000,217839.36183270,0
2025-12-05 23:11:00,89108.38,89122.62,89101.98,89122.61,2.53199,2025-12-05 23:11:59.999,225621.75864090,768,1.56404000,139369.03943020,0
2025-12-05 23:12:00,89122.61,89122.62,89098.0,89098.0,1.19087,2025-12-05 23:12:59.999,106113.07956090,1582,0.27914000,24873.19561040,0
2025-12-05 23:13:00,89098.0,89098.01,89056.38,89056.38,2.06707,2025-12-05 23:13:59.999,184120.44915970,2329,0.55381000,49327.50056890,0
2025-12-05 23:14:00,89056.38,89123.46,89056.38,89123.46,6.07772,2025-12-05 23:14:59.999,541389.07598430,773,5.28479000,470761.60418540,0
2025-12-05 23:15:00,89123.45,89166.0,89123.45,89165.99,2.3068,2025-12-05 23:15:59.999,205630.08743240,1007,1.92287000,171407.66348290,0
2025-12-05 23:16:00,89166.0,89170.0,89131.83,89142.84,2.74157,2025-12-05 23:16:59.999,244414.06869210,2748,0.42540000,37919.00045940,0
2025-12-05 23:17:00,89142.85,89147.39,89127.3,89147.39,2.52496,2025-12-05 23:17:59.999,225057.07280340,1192,1.04515000,93159.47282760,0
2025-12-05 23:18:00,89147.38,89152.74,89110.01,89110.01,3.8903,2025-12-05 23:18:59.999,346773.46769010,2659,0.37787000,33680.57665010,0
2025-12-05 23:19:00,89110.0,89146.84,89110.0,89146.83,0.70048,2025-12-05 23:19:59.999,62430.85706460,702,0.44975000,40082.99305730,0
2025-12-05 23:20:00,89146.83,89146.84,89133.79,89137.71,1.68364,2025-12-05 23:20:59.999,150081.41673350,807,0.55205000,49208.65101160,0
2025-12-05 23:21:00,89137.71,89143.43,89111.28,89136.93,1.64573,2025-12-05 23:21:59.999,146688.83279420,2046,0.33607000,29951.98806320,0
2025-12-05 23:22:00,89136.92,89136.93,89106.36,89115.83,2.99444,2025-12-05 23:22:59.999,266860.18956920,1266,1.48719000,132533.52866760,0
2025-12-05 23:23:00,89115.84,89142.4,89115.83,89115.83,3.07618,2025-12-05 23:23:59.999,274183.88890630,2231,0.51762000,46133.50651270,0
2025-12-05 23:24:00,89115.83,89115.84,89078.73,89078.73,5.08441,2025-12-05 23:24:59.999,453043.35055850,1271,0.17242000,15363.51997280,0
2025-12-05 23:25:00,89078.74,89124.46,89078.74,89124.45,2.30711,2025-12-05 23:25:59.999,205565.45794820,1447,1.82657000,162742.64424430,0
2025-12-05 23:26:00,89124.46,89165.79,89124.46,89165.38,2.84108,2025-12-05 23:26:59.999,253300.28052160,1594,2.11557000,188613.21056100,0
2025-12-05 23:27:00,89165.38,89212.61,89165.38,89211.51,4.20276,2025-12-05 23:27:59.999,374856.71132420,1029,3.47198000,309665.20362980,0
2025-12-05 23:28:00,89211.51,89265.12,89203.26,89265.11,7.092,2025-12-05 23:28:59.999,632894.02688030,2029,6.15429000,549227.28067700,0
2025-12-05 23:29:00,89265.12,89265.12,89233.39,89233.39,12.5484,2025-12-05 23:29:59.999,1119815.39841190,1998,8.19086000,730944.80698710,0
2025-12-05 23:30:00,89233.39,89286.88,89228.35,89266.49,10.26525,2025-12-05 23:30:59.999,916202.77222290,1774,7.91752000,706629.84290360,0
2025-12-05 23:31:00,89266.49,89266.5,89260.0,89260.0,3.56719,2025-12-05 23:31:59.999,318429.69089740,787,0.22443000,20033.93048130,0
2025-12-05 23:32:00,89260.0,89265.61,89260.0,89265.6,0.72973,2025-12-05 23:32:59.999,65138.14233600,288,0.27660000,24690.34856800,0
2025-12-05 23:33:00,89265.61,89272.65,89238.25,89260.14,8.96061,2025-12-05 23:33:59.999,799788.69736650,2189,4.80643000,428966.04520160,0
2025-12-05 23:34:00,89260.14,89260.15,89260.1,89260.11,0.33254,2025-12-05 23:34:59.999,29682.55734050,223,0.13133000,11722.53026270,0
2025-12-05 23:35:00,89260.11,89328.64,89260.11,89328.63,3.55905,2025-12-05 23:35:59.999,317778.16281970,1728,2.45467000,219167.91891730,0
2025-12-05 23:36:00,89328.63,89343.44,89308.51,89308.51,3.37342,2025-12-05 23:36:59.999,301333.42900230,1647,1.69093000,151026.34623130,0
2025-12-05 23:37:00,89308.51,89308.52,89293.99,89297.75,2.91432,2025-12-05 23:37:59.999,260250.31933950,4579,0.39037000,34859.65723930,0
2025-12-05 23:38:00,89297.74,89321.93,89297.74,89321.93,1.3826,2025-12-05 23:38:59.999,123485.45786720,1022,0.65060000,58106.06511300,0
2025-12-05 23:39:00,89321.93,89329.42,89315.85,89315.85,2.14659,2025-12-05 23:39:59.999,191734.88533450,1385,0.34984000,31246.52611270,0
2025-12-05 23:40:00,89315.85,89315.86,89270.58,89270.59,1.93858,2025-12-05 23:40:59.999,173093.73763230,3528,0.67707000,60447.71352010,0
2025-12-05 23:41:00,89270.58,89278.36,89270.58,89278.34,0.95159,2025-12-05 23:41:59.999,84951.76888010,508,0.63785000,56942.07347060,0
2025-12-05 23:42:00,89278.34,89311.61,89278.34,89302.01,1.28168,2025-12-05 23:42:59.999,114453.36980780,988,1.04352000,93184.35253700,0
2025-12-05 23:43:00,89302.0,89302.01,89271.09,89275.1,4.68441,2025-12-05 23:43:59.999,418205.94420730,1672,2.31685000,206829.26071030,0
2025-12-05 23:44:00,89275.11,89275.11,89227.28,89227.28,1.28527,2025-12-05 23:44:59.999,114718.09423480,1867,0.13684000,12214.42034600,0
2025-12-05 23:45:00,89227.29,89227.29,89210.0,89210.01,0.50025,2025-12-05 23:45:59.999,44630.51213970,1571,0.17132000,15283.90653420,0
2025-12-05 23:46:00,89210.0,89263.46,89210.0,89252.13,2.69372,2025-12-05 23:46:59.999,240357.42530800,2124,1.03205000,92084.76104360,0
2025-12-05 23:47:00,89252.14,89266.0,89252.14,89263.7,1.02421,2025-12-05 23:47:59.999,91423.31973660,1021,0.49782000,44435.15700760,0
2025-12-05 23:48:00,89263.71,89293.79,89263.7,89293.79,0.517,2025-12-05 23:48:59.999,46154.99289490,849,0.29807000,26610.20539690,0
2025-12-05 23:49:00,89293.78,89315.03,89290.66,89307.82,3.88549,2025-12-05 23:49:59.999,346972.14845480,1516,2.39640000,213994.45081860,0
2025-12-05 23:50:00,89307.81,89317.24,89307.81,89317.24,0.69087,2025-12-05 23:50:59.999,61705.51195570,359,0.39167000,34982.53009190,0
2025-12-05 23:51:00,89317.23,89338.38,89317.23,89338.38,3.55423,2025-12-05 23:51:59.999,317478.83740620,836,2.57767000,230244.16182370,0
2025-12-05 23:52:00,89338.38,89338.38,89302.0,89316.95,17.11235,2025-12-05 23:52:59.999,1528428.08696220,2264,14.03598000,1253653.36420160,0
2025-12-05 23:53:00,89316.95,89316.95,89293.87,89298.6,16.78513,2025-12-05 23:53:59.999,1498871.37055090,1740,14.62750000,1306198.57885070,0
2025-12-05 23:54:00,89298.6,89299.84,89289.68,89290.0,3.58993,2025-12-05 23:54:59.999,320572.38305220,769,1.84906000,165115.92020720,0
2025-12-05 23:55:00,89290.01,89371.87,89290.01,89371.87,3.50666,2025-12-05 23:55:59.999,313260.45436550,1872,3.00916000,268828.12400000,0
2025-12-05 23:56:00,89371.87,89374.0,89367.93,89373.99,5.3308,2025-12-05 23:56:59.999,476410.55517500,744,3.87238000,346069.28855540,0
2025-12-05 23:57:00,89373.99,89374.0,89367.19,89367.19,2.13308,2025-12-05 23:57:59.999,190637.02374700,1136,0.99773000,89168.12426040,0
2025-12-05 23:58:00,89367.19,89383.46,89367.19,89383.46,1.25537,2025-12-05 23:58:59.999,112200.01108110,772,1.05024000,93866.36572230,0
2025-12-05 23:59:00,89383.46,89383.46,89330.03,89330.04,3.75528,2025-12-05 23:59:59.999,335581.32024760,3055,1.70724000,152555.24866830,0
2025-12-06 00:00:00,89330.04,89330.04,89221.8,89226.44,16.24019,2025-12-06 00:00:59.999,1449487.48291180,4446,0.52714000,47049.95269650,0
2025-12-06 00:01:00,89226.44,89229.51,89200.0,89200.01,2.8348,2025-12-06 00:01:59.999,252929.70729300,1302,1.16368000,103823.86990380,0
2025-12-06 00:02:00,89200.01,89200.01,89183.37,89185.39,3.66665,2025-12-06 00:02:59.999,327024.47941250,1430,1.23833000,110441.33595530,0
2025-12-06 00:03:00,89185.4,89219.62,89183.39,89219.61,5.10053,2025-12-06 00:03:59.999,454954.00322690,1453,4.49814000,401223.76607510,0
2025-12-06 00:04:00,89219.61,89219.62,89208.01,89208.01,1.90263,2025-12-06 00:04:59.999,169751.48479110,691,0.68624000,61226.04063950,0
